SEKTOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,180,301,302,303,304,305 LN,307 AP,309,310,407 LN,408 AP,409,501,503,509,600,700
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,723.00,1513.00,2645.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1566.00,0.00,12865.00,0.00,0.00,0.00,2.00,3249.00,0.00,8596.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2471.00,30103.00,241379.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24048.00,41.00,23634.00,12579.00,0.00,0.00,0.00,365532.00,308866.00,0.00,0.00,28641.00,0.00,627489.00,964996.00,1330528.00,0.00,0.00,0.00,0.00,0.00,0.00,1330528.00,1330528.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,969.00,2027.00,3545.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485.00,383.00,965.00,0.00,0.00,0.00,0.00,107.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2099.00,0.00,10296.00,0.00,0.00,1177.00,2.00,1818.00,0.00,10732.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,916.00,125.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3311.00,8366.00,192371.00,0.00,2.00,6.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262284.00,55.00,67876.00,16856.00,0.00,0.00,0.00,594815.00,5185993.00,0.00,0.00,38641.00,0.00,5697474.00,10922108.00,11516923.00,0.00,3240115.00,3240115.00,0.00,0.00,0.00,8276807.00,11516922.00
12,43.00,0.00,0.00,3.00,143.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,7.00,0.00,36.00,0.00,0.00,0.00,0.00,26.00,0.00,1656.00,313.00,857.00,901.00,41.00,102.00,0.00,1929.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,442.00,0.00,1.00,85790.00,251.00,0.00,157.00,1.00,3779.00,6288.00,300.00,544.00,1.00,62.00,0.00,0.00,22836.00,1.00,0.00,21398.00,0.00,1.00,24.00,1.00,0.00,20820.00,5599.00,0.00,0.00,0.00,47.00,0.00,12.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,7437.00,0.00,0.00,0.00,9.00,277.00,2596.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1129.00,953.00,702.00,787.00,0.00,2922.00,0.00,191412.00,40279.00,0.00,0.00,10576.00,0.00,0.00,50855.00,242267.00,0.00,216855.00,216855.00,0.00,0.00,0.00,25412.00,242267.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19421.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4095.00,79981.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,8275.00,0.00,93538.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,608.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206034.00,0.00,0.00,0.00,-2770.00,0.00,231692.00,228922.00,434956.00,0.00,93256.00,93256.00,0.00,0.00,0.00,341700.00,434956.00
14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,178399.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45114.00,2038.00,5133.00,0.00,13823.00,0.00,0.00,569.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2143625.00,180.00,0.00,213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,652.00,17016.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2407062.00,2365.00,0.00,0.00,248628.00,0.00,3925947.00,4176940.00,6584001.00,0.00,0.00,0.00,0.00,0.00,0.00,6584001.00,6584001.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,131.00,816.00,0.00,0.00,0.00,5948.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,437.00,2.00,534.00,49056.00,22317.00,0.00,1764.00,8276.00,21972.00,122299.00,113.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,364.00,0.00,0.00,0.00,728.00,5.00,394.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3639.00,0.00,0.00,0.00,1330.00,496.00,151773.00,0.00,0.00,0.00,0.00,215.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1564.00,0.00,653.00,82.00,0.00,0.00,0.00,394996.00,1389541.00,0.00,0.00,164108.00,0.00,1968138.00,3521787.00,3916784.00,0.00,18836.00,18836.00,0.00,0.00,0.00,3897948.00,3916783.00
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7977.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58078.00,1119739.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1185794.00,17719.00,0.00,0.00,74418.00,0.00,1187248.00,1279386.00,2465179.00,0.00,128.00,128.00,0.00,0.00,0.00,2465052.00,2465179.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27111.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107596.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,930.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135685.00,82728.00,0.00,0.00,515811.00,27923.00,13321.00,639783.00,775468.00,126976.00,75716.00,202692.00,0.00,0.00,0.00,572776.00,775468.00
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29323.00,0.00,1787.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31432.00,141010.00,0.00,0.00,12701.00,9727.00,9074.00,172512.00,203944.00,5103.00,7004.00,12108.00,0.00,0.00,0.00,191836.00,203944.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,7.00,0.00,91.00,958.00,2743925.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.00,21.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,1550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2747150.00,72.00,0.00,0.00,849.00,0.00,91393.00,92315.00,2839464.00,0.00,2370111.00,2370111.00,0.00,0.00,0.00,469353.00,2839464.00
